_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
2585,Sodexo@John Hancock 16th Fl.,,200 Berkeley,Boston,MA,02116,Active,FS,Eating & Drinking,2023-06-09 16:05:18.897+00,9783942493,156187,42.35006051614686,-71.07291903349389
2586,Sodexo @ Liberty Mutual Fl. 2,,157 Berkeley,Boston,MA,02116,Active,FS,Eating & Drinking,2022-01-19 17:35:09.52+00,7744526767,342978,42.34926584672397,-71.07182261624968
2587,SodexoMagic @ Merck Boston Cafe,,33 Avenue Louis Pasteur,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2026-04-29 16:18:39.003+00,8574078847,6851,42.33976900080577,-71.10325900165041
2588,Sodexo @ The Lounge Trmnl C,,300 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2018-08-17 12:52:00.73+00,6175610310,,,
2589,SODEXO U MASS FACULTY CLUB,,100 WM T MORRISSEY,DORCHESTER,MA,02125,Active,FS,Eating & Drinking,2007-04-12 17:23:43+00,0,,,
2590,SODEXO U MASS FOOD COURT,,100 WM T MORRISSEY,DORCHESTER,MA,02125,Active,FS,Eating & Drinking,2007-03-02 18:36:45+00,8663723035,,,
2591,Sofra Bakery & Cafe,,210 Harvard,Allston,MA,02134,Active,FS,Eating & Drinking,2023-05-23 14:16:04.883+00,,70962,42.362519999936914,-71.13002000121442
2592,SoJu Ba,,1265 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2020-04-22 18:19:59.167+00,6179218999,18075,42.34524884308454,-71.09635222370392
2593,Sol Azteca,,914 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,2006-12-07 18:33:51+00,6172620909,12401,42.34665999987282,-71.10626000145659
2594,Solid Ground Cafe,,742 Huntington,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2018-06-05 19:12:09.437+00,6174875557,366005,42.333660000113035,-71.10544000141543
2595,Somaek Temple Records,,11 Temple,Boston,MA,02114,Active,FS,Eating & Drinking,2023-12-06 15:41:37.953+00,,134088,42.360856000142725,-71.06384400125734
2596,Somenya Restaurant,,23 Hudson,Boston,MA,02111,Active,FS,Eating & Drinking,2021-07-22 17:31:19.787+00,6179933368,75861,42.35051819739717,-71.06030600028453
2597,Somerset Club,,42 Beacon,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:33:51+00,6172271731,11441,42.35699000051437,-71.06671000126217
2598,SONSIE,,327 Newbury,Boston,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6173512500,157115,42.348792167215166,-71.08627113222059
2599,SOPHIA'S GROTTO,,18 Corinth,Roslindale,MA,02131,Active,FS,Eating & Drinking,2006-12-07 18:36:16+00,6173235217,351680,42.28660000003507,-71.13017000134069
2600,Sorelle Cafe,,280 Congress,Boston,MA,02110,Active,FS,Eating & Drinking,2011-06-09 13:49:49+00,,,,
2601,SORELLINA RESTAURANT,,1 Huntington,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:36:33+00,6174124465,156748,42.34876474984522,-71.0780702284154
2602,Sotano People Corp.,,196 Quincy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2025-10-22 17:01:26.117+00,7815979418,377254,42.31306866790966,-71.07391936327326
2603,Soul On Shawmut,,722 Shawmut,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2024-09-11 14:51:28.257+00,6172387525,157649,42.33278306173198,-71.08322104848872
2604,Souper Siam,,190 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2025-04-04 18:49:44.06+00,6172107953,73286,42.35671999994388,-71.05226000104136
2605,Soup Shack,,779 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2018-02-08 17:51:34.167+00,6176108529,352449,42.30995251172651,-71.11559972392934
2606,SOUTH BOSTON YACHT CLUB,,1849 Columbia,South Boston,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:35:09+00,6172686132,156662,42.33212654438874,-71.02702854467628
2607,South End Buttery(314 Shawmut Ave.),,314 Shawmut,Roxbury,MA,02118,Active,FS,Eating & Drinking,2007-12-17 15:45:08+00,6174821015,126189,42.342090000007026,-71.07029000175265
2608,South End Pita,,471 Albany,Roxbury,MA,02118,Active,FS,Eating & Drinking,2009-04-16 12:30:53+00,6175562600,1541,42.33974000040875,-71.06500000099311
2609,South End Pizza & Grill,,772 Tremont,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2018-01-19 16:19:57.25+00,6172662525,369697,42.33941000032239,-71.07974000123636
2610,South St. Diner,,178 Kneeland,Boston,MA,02111,Active,FS,Eating & Drinking,2006-12-07 18:34:52+00,6173500028,157323,42.34985304057073,-71.05771705658056
2611,Spagnoulos,,240 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:02+00,6177429124,69066,42.363380000024854,-71.05517000122782
2612,SPANGLER STUDENT CENTER,,1 SOLDIERS FIELD,BOSTON,MA,02163,Active,FS,Eating & Drinking,2006-12-07 18:35:22+00,0,,42.36394892290984,-71.12083941835833
2613,Spangler Student Center Coffee Bar,,117 Western,Boston,MA,02163,Active,FS,Eating & Drinking,2019-04-17 14:18:49.96+00,6174956415,156711,42.365174082281726,-71.12222708490836
2614,Spaulding Rehabilitation Hospital,,300 First,Charlestown,MA,02129,Active,FS,Eating & Drinking,2011-09-27 17:30:44+00,6175732254,,,
2615,SPiN,,273 Summer,Boston,MA,02210,Active,FS,Eating & Drinking,2021-07-26 17:18:59.637+00,6174042272,315673,42.349993844650434,-71.05032565769108
2616,Spirit of Boston,,200 Seaport,Boston,MA,02210,Active,FS,Eating & Drinking,2006-12-07 18:34:06+00,6177481499,352732,42.35000999968615,-71.04099000151585
2617,SPORTS CONNECTION BAR & GRILL,,560 Dorchester,South Boston,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:35:11+00,6176458440,156668,42.33048868244827,-71.056730604949
2618,Spring,,90 Peterborough,Boston,MA,02215,Active,FS,Eating & Drinking,2023-06-27 19:11:53.68+00,,156232,42.34307476970317,-71.09902940365166
2619,Springhouse,,44 Allandale,Roslindale,MA,02467,Active,FS,Eating & Drinking,2024-03-27 19:10:40.403+00,6175220043,397856,42.30012000012234,-71.13059000131649
2620,Spring Shabu-Shabu,,304 Western,Brighton,MA,02135,Active,FS,Eating & Drinking,2016-12-06 17:27:00.957+00,,148183,42.362670000104444,-71.13595000028558
2621,Squeeze Juice Co.,,25 Dry Dock,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2024-01-03 15:20:33.287+00,6174597511,341360,42.344263695839544,-71.02903270054128
2622,Squeeze Juice Co.,,401 Park,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2023-01-25 16:03:47.823+00,,156914,42.344449188410294,-71.10287028370084
2623,SRV,,434 Massachusetts,Roxbury,MA,02118,Active,FS,Eating & Drinking,2015-05-06 18:06:39.453+00,6173088607,271851,42.34087999959143,-71.08181000100177
2624,Stack & Schmear,,100 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2026-01-16 14:13:13.857+00,6178178969,342934,42.354465446258,-71.05529865229609
2625,Stage Karaoke X Studios,,138 Brighton,Allston,MA,02134,Active,FS,Eating & Drinking,2019-05-31 14:00:08.703+00,6176698383,156003,42.35276121573179,-71.13179059512635
2626,Stand #301 - Draft Picks,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:05:45+00,6176241610,,,
2627,Stand #401 - On Tap,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 19:54:55+00,6176241610,,,
2628,Stand #403-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:37:35+00,6176241610,,,
2629,Stand 405-Lucky's Chicken,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 16:56:48+00,6176241610,,,
2630,Stand 406-Sal's Pizza,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:13:38+00,6176241610,,,
2631,Stand 407-North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:19:30+00,6176241610,,,
2632,Stand 408- Big Bad Burger,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:47:43+00,6176241610,,,
2633,Stand #409-Boston Commons,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:28:36+00,6176241610,,,
2634,Stand #412-On Tap,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 19:56:19+00,6176241610,,,
2635,Stand #414-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-28 17:20:24+00,6176241610,,,
2636,Stand #415-Frito Lay Test Kitchen,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 19:57:13+00,6176241610,,,
2637,Stand #416-Causeway Carvery,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:30:32+00,6176241610,,,
2638,Stand 418-Backbay BBQ,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:11:30+00,6176241610,,,
2639,Stand #419-Lucky's Chicken,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:20:19+00,6176241610,,,
2640,Stand 420-Taqueria,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:22:36+00,6176241610,,,
2641,Stand #421-North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:40:41+00,6176241610,,,
2642,Stand 489-Garden Grill,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:07:18+00,6176241610,,,
2643,Stand #702-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:38:31+00,6176241610,,,
2644,Stand #705-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:48:48+00,6176241610,,,
2645,Stand 707-Sal's Pizza,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:09:29+00,6176241610,,,
2646,Stand #708-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:43:22+00,6176241610,,,
2647,Stand #709-Causeway Carvery,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 19:46:29+00,6176241610,,,
2648,Stand #710-Lucky's Chicken,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:21:06+00,6176241610,,,
2649,Stand 711-Big Bad Burger,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:08:27+00,6176241610,,,
2650,Stand #712-Bullfinch Bar,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:26:01+00,6176241610,,,
2651,Stand 713-Nachos and Beer,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2015-02-23 17:15:14.61+00,6176241610,,,
2652,Stand #715-North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:35:32+00,6176241610,,,
2653,Stand #717-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:39:30+00,6176241610,,,
2654,Stand #720-Bullfinch Bar,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:45:28+00,6176241610,,,
2655,Stand #721-Haymarket,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-25 16:38:46+00,6176241610,,,
2656,Stand # 722-Lucky's Chicken,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 17:03:16+00,6176241610,,,
2657,Stand #723-Backbay BBQ,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:26:51+00,6176241610,,,
2658,Stand # 724-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 16:55:14+00,6176241610,,,
2659,Stand 725-Sal's Pizza,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:10:27+00,6176241610,,,
2660,Stand 727-Hub Hot Dog,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:36:48+00,6176241610,,,
2661,Stand 730-North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-27 17:04:30+00,6176241610,,,
2662,Standard Italian,,771 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,2022-11-08 17:33:30.917+00,,439491,42.347508638480065,-71.10101367349917
2663,Stanza Dei Sigari,,294 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2020-10-28 17:05:14.557+00,6172270295,422472,42.3641199996807,-71.05438000174541
2664,Starbucks,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:15+00,6174386184,,,
2665,Starbucks,,1341 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2015-05-29 13:50:33.997+00,6127611913,18094,42.34441999987385,-71.09961000078549
2666,Starbucks,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2018-04-19 14:38:45.903+00,6176346097,341353,42.362677345436204,-71.01863498065062
2667,Starbucks,,45 Transportation,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2021-04-13 18:59:03.15+00,6174187032,437747,42.36667457310752,-71.02772059976026
2668,Starbucks,,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-02-16 17:06:21.767+00,3399701981,156723,42.35204827404688,-71.0551747507777
2669,Starbucks,,700 COMMONWEALTH ,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2008-03-13 17:14:02+00,6173532947,,42.34918401907452,-71.10404031739364
2670,Starbucks,,99 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2015-12-23 17:26:56.517+00,2063185936,350792,42.35117453241631,-71.04541115925554
2671,Starbucks - B18,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-05-09 21:50:27.38+00,6176346097,341353,42.362677345436204,-71.01863498065062
2672,Starbucks B1-B3 Pre-Security,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2018-09-05 17:27:25.13+00,6176346097,341353,42.362677345436204,-71.01863498065062
2673,Starbucks - B27,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-05-09 21:48:37.413+00,6176346097,341353,42.362677345436204,-71.01863498065062
2674,Starbucks Bike,,300 Longwood,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2026-06-09 13:49:10.157+00,6173556000,87170,42.337021276952704,-71.10560518492264
2675,Starbucks@Boston Children's Hospital,,300 Longwood,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2023-12-11 15:38:29.863+00,6173557442,87170,42.337021276952704,-71.10560518492264
2676,Starbucks @ Boston Logan Wharf Marriott,,296 State,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2025-02-05 16:55:41.083+00,7813897634,130424,42.36021436884478,-71.05067647432195
2677,Starbucks Coffee,,110 Huntington,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2016-09-16 13:34:33.59+00,6172365800,76238,42.34743050913615,-71.07743587970204
2678,Starbucks Coffee,,140 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2007-02-12 14:01:30+00,6178676545,340900,42.344895000465996,-71.1006970017528
2679,Starbucks Coffee,,1 Thompson,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2017-02-08 18:17:05.98+00,,395242,42.37526999969185,-71.06365000075073
2680,Starbucks Coffee,,2 Park,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2023-12-05 16:39:02.92+00,,107187,42.35226899990708,-71.06710800102283
2681,Starbucks Coffee,,300 Faneuil Hall Marketplace,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2017-12-27 15:21:07.79+00,,341035,42.36047273790481,-71.05548566894203
2682,Starbucks Coffee,,440 William F McClellan,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2007-07-10 14:46:35+00,0,149840,42.393483999449856,-71.01297600200594
2683,Starbucks Coffee,,500 Boylston,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2024-01-23 15:52:01.597+00,,18333,42.35053000034381,-71.07390000167878
2684,Starbucks Coffee,,50 Park,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2016-09-02 15:06:45.943+00,0,157315,42.35125131844425,-71.06937509151477
2685,Starbucks Coffee,,749 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2016-03-10 19:07:00.54+00,6035055633,354186,42.3354099998567,-71.03562000149279
2686,Starbucks Coffee # 10599,,125 Summer,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2007-04-25 17:20:14+00,2063185936,131981,42.35312315905097,-71.05742297932142
2687,Starbucks Coffee #22253,,1304 Commonwealth,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2014-03-18 12:48:43+00,,349776,42.34843900840776,-71.13418207754175
2688,Starbucks Coffee #22566,,48 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2014-03-18 13:06:50+00,,168260,42.3534491608824,-71.04626044179913
2689,Starbucks Coffee #50497,,20 District,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2017-06-13 14:30:06.347+00,8573375510,420662,42.32531436705742,-71.06273101728776
2690,Starbucks Coffee # 7224,,364 Brookline,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2007-05-22 14:01:18+00,0,,42.33896999999967,-71.10626000121844
2691,Starbucks Coffee #7550,,2 ATLANTIC ,BOSTON,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:16+00,0,,42.364080648193244,-71.05074132307887
2692,Starbucks Coffee # 7804,,283 Longwood,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2007-05-22 17:31:08+00,0,,42.337990000009654,-71.1044800012349
2693,Starbucks Coffee # 7805,,90 Oliver,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2007-05-22 17:42:03+00,0,156963,42.35632625022133,-71.0518760535379
2694,STARBUCKS COFFEE # 7823,,470 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2007-04-13 17:42:06+00,0,143582,42.34870000035035,-71.1595400006361
2695,Starbucks Coffee # 801,,1 CHARLES ST,BOSTON,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2007-05-22 13:30:41+00,0,,42.35642999999642,-71.06925000123829
2696,Starbucks Coffee # 822,,435 STUART ST,BOSTON,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2007-05-22 18:21:05+00,0,,42.34863000001652,-71.07599000123419
2697,Starbucks Coffee #9463,,84 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:26+00,2063185936,156331,42.35913325454445,-71.0557380990988
2698,Starbucks Coffee-C10,,300 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2016-05-05 14:59:28.907+00,6176346097,,,
2699,Starbucks Coffee-C28,,300 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-06-27 16:10:19.083+00,6176346097,341352,42.3666199526667,-71.016589349149
2700,Starbucks Coffee Co.,,1 Financial,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:54+00,0,,,
2701,STARBUCKS COFFEE CO.,,222 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2007-04-13 17:54:30+00,0,155907,42.36098535116457,-71.06648117244578
2702,Starbucks Coffee Co. #7808,,1804 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2007-03-31 13:10:39+00,,27724,42.28719199973772,-71.15257100051114
2703,Starbucks Coffee Co. #872,,350 Newbury,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2007-03-31 13:18:05+00,,101571,42.34811000015924,-71.08715000190476
2704,Stardust,,1753 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2019-04-08 15:28:06.77+00,6178694242,351872,42.28751507883635,-71.15055866207874
2705,Star Market #3588,,1065 COMMONWEALTH ,ALLSTON,MA,02134,Active,FS,Eating & Drinking,2008-12-08 18:32:27+00,2083954913,,42.35267893247595,-71.12333017456518
2706,Star Market #4572,,370 Western,Brighton,MA,02135,Active,FS,Eating & Drinking,2012-05-21 17:57:15+00,2083954913,156610,42.36091312663847,-71.13763700505841
2707,Star Markets #2576,,33 Kilmarnock,Boston,MA,02215,Active,FS,Eating & Drinking,2008-12-08 16:21:54+00,2083954913,157991,42.343618946622236,-71.10014005167318
2708,Starry Bakery,,128 Harvard,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2026-02-25 18:49:01.063+00,8574235359,70340,42.35216953382073,-71.13164612445128
2709,STASH'S PIZZA,,612 Blue Hill,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:03+00,6175909063,157613,42.3032076252162,-71.08490179380273
2710,State Street Financial-12th Floor,,1 Congress,Boston,MA,02108,Active,FS,Eating & Drinking,2021-06-22 16:57:54.003+00,,218217,42.36182000028709,-71.05839000099867
2711,State Street Provisions,,255 State,Boston,MA,02110,Active,FS,Eating & Drinking,2015-06-18 15:30:18.223+00,6172306095,158086,42.35938091073582,-71.05114624072525
2712,Station Bistro & KTV,,20 Hudson,Boston,MA,02111,Active,FS,Eating & Drinking,2021-09-09 18:04:02.65+00,6172931177,75859,42.350420974272446,-71.06000034363082
2713,Stats,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2024-12-05 14:59:51.577+00,6033613736,423633,42.36553349531547,-71.06185622592876
2714,St Botolph Club Inc,,199 Commonwealth,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:33:56+00,6175367570,39151,42.351587999819785,-71.08093000160697
2715,St. Cecilia Parish,,18 Belvidere,Boston,MA,02115,Active,FS,Eating & Drinking,2019-05-17 14:58:50.677+00,6175364548,355810,42.34652199987492,-71.08639000201192
2716,STEPHANIE'S,,200 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2013-11-08 14:21:39+00,,341353,42.362677345436204,-71.01863498065062
2717,STEPHANIE'S,,500 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2017-03-16 14:39:39.683+00,6175675700,341351,42.36990420124479,-71.01943927546833
2718,STEPHANIE'S ON NEWBURY,,190 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,2019-03-28 17:09:56.18+00,6172360990,155892,42.350167415780206,-71.07958837710852
2719,Steve's Greek Cuisine,,1 Faneuil Hall Marketplace,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2019-05-31 13:40:11.85+00,6172631166,352565,42.35965030734419,-71.05594969419191
2720,St. George Orthodox Church,,55 Emmonsdale,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2016-11-22 14:59:29.013+00,6173230323,53757,42.27722999967233,-71.151630001002
2721,Stillwater,,120 Kingston,Boston,MA,02111,Active,FS,Eating & Drinking,2019-07-19 15:36:40.213+00,,82003,42.352284605644286,-71.05912076397648
2722,St. John's Seminary,,127 Lake,Brighton,MA,02135,Active,FS,Eating & Drinking,2021-08-05 18:12:20.93+00,9149417636,155977,42.34432295962577,-71.16304875504524
2723,STK Steakhouse,,222 Berkeley,Boston,MA,02116,Active,FS,Eating & Drinking,2023-02-10 15:29:09.29+00,,15007,42.350839999854266,-71.07311000081562
2724,St. Mary's Ctr. for Women & Children,,90 Cushing,Dorchester,MA,02125,Active,FS,Eating & Drinking,2015-06-26 17:27:27.923+00,6174368600,45189,42.31390030301989,-71.06340026983223
2725,Stockyard,,135 Market,Brighton,MA,02135,Active,FS,Eating & Drinking,2013-01-30 13:55:08+00,6177824700,90173,42.357779999467134,-71.1485800011207
2726,Stop and Taste Pizza Grill,,239 Dudley,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2017-09-14 18:21:08.833+00,6174457866,158067,42.32837982279563,-71.07974049842177
2727,Stop & Shop #412,,1622 Tremont,Mission Hill,MA,02120,Active,FS,Eating & Drinking,2008-12-08 15:13:19+00,6173232160,170526,42.33370829557207,-71.10449239825937
2728,Stop & Shop #413,,1025 Truman,Hyde Park,MA,02136,Active,FS,Eating & Drinking,2012-03-13 16:41:43+00,6173232160,156433,42.24246082829231,-71.1273312080693
2729,Stop & Shop/Dunkin Donuts #18,,535 Freeport,DORCHESTER,MA,02122,Active,FS,Eating & Drinking,2007-11-15 13:50:10+00,6173232160,,42.2926400000143,-71.04900000121631
2730,Stop & Shop Supermarket #075,,301 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2008-12-08 15:01:59+00,6173232160,155939,42.324073887709574,-71.10315030700278
2731,Stratus - 51th Floor,,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2023-01-18 19:00:17.2+00,,157244,42.34729680482496,-71.0814574594804
2732,STREGA,,379 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:36:19+00,6179131018,157826,42.36496775641889,-71.0530514078036
2733,Stubbys Seaport,,43 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2023-03-03 18:37:34.683+00,,437352,42.35315974788239,-71.0468447990993
2734,Subway,,1281 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2016-11-01 13:00:07.583+00,6173617373,156201,42.255266751054634,-71.12450026110407
2735,Subway,,13 William C Kelly,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2013-08-14 17:11:28+00,6175610061,151119,42.37457669691503,-71.03880387729498
2736,Subway,,1576 Dorchester,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:21+00,7815727104,156882,42.29710716743132,-71.06047949260304
2737,Subway,,1578 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2019-01-10 20:35:06.58+00,6172323956,137255,42.333239999446846,-71.10256000103047
2738,Subway,,2195 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2019-04-08 15:16:20.16+00,6172325752,157762,42.34028006411988,-71.16648744124736
2739,Subway,,340 Longwood,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:48+00,6172649299,156613,42.33832798368653,-71.1069593361776
2740,Subway,,393 Massachusetts,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2023-11-08 15:03:46.183+00,6174377180,92062,42.34147999993117,-71.08347000127725
2741,Subway,,413 Washington,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2024-04-05 16:13:54.607+00,7742434497,145128,42.35588899994394,-71.060325000883
