_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
1461,JENNY'S PIZZA,,320 Medford,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2023-09-13 15:34:03.56+00,7813331199,93732,42.38126000046043,-71.06301000140816
1462,Jersey Mikes,,64 Staniford,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2024-07-09 17:06:10.473+00,7036270048,355286,42.36303464684379,-71.06410351319063
1463,Jersey Mikes Subs,,462 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2021-03-29 18:04:03.183+00,9086423594,143580,42.34873500021143,-71.15899200120337
1464,Jiang Nan,,177 Tremont,Boston,MA,02111,Active,FS,Eating & Drinking,2022-11-28 15:12:21.32+00,8572770668,137449,42.352999999796815,-71.06405000152559
1465,Jibei Chuan,,50 Beach,Boston,MA,02111,Active,FS,Eating & Drinking,2020-11-18 17:38:33.513+00,6178885366,9392,42.351539999950916,-71.06073000146765
1466,Jimmy Buffett's Margaritaville,,300 Faneuil Hall Marketplace,Boston,MA,02109,Active,FS,Eating & Drinking,2021-03-23 18:48:49.69+00,,351051,42.3605358160807,-71.05485795412649
1467,JIMMY JOHN'S,,100 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2023-08-01 18:20:05.247+00,,341357,42.364539860564015,-71.02181743285618
1468,JIMMY JOHN'S,,411 D,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2020-01-29 19:16:29.613+00,8572653289,345085,42.34448273894785,-71.04388091223142
1469,Jim Roche Ice Arena,,1275 VFW,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2007-09-14 12:43:47+00,6173239512,402434,42.276099999839786,-71.17305000129284
1470,Jim's Restaurant and Deli,,371 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:19+00,6177872626,155792,42.3493179139294,-71.15405120583353
1471,Jiro's Sushi,,32 Kneeland,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2019-04-08 13:54:30.207+00,,354241,42.35085022255524,-71.06183724236563
1472,J. J. DONOVAN INC.,,200 FANEUIL HALL MARKET,BOSTON,MA,02109,Active,FS,Eating & Drinking,2007-04-11 15:15:04+00,6175239522,,42.360199815765334,-71.05479820409751
1473,J J Foley's Cafe,,117 EAST BERKELEY,BOSTON,MA,02118,Active,FS,Eating & Drinking,2007-06-27 19:46:08+00,6177280315,,42.34383159379653,-71.06564064203337
1474,J J FOLEY'S GRILL INC.,,19 KINGSTON,BOSTON,MA,02111,Active,FS,Eating & Drinking,2006-12-07 18:34:20+00,6174828075,,,
1475,J & J IRISH PUB & GRILLE,,1130 Dorchester,Dorchester,MA,02125,Active,FS,Eating & Drinking,2006-12-07 18:34:32+00,6172825919,156549,42.312214660803505,-71.0571913072943
1476,JJ Nugs Mac & Cheese-Lower Level,,32 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2025-04-02 18:26:08.497+00,5088431673,25110,42.383569999309664,-71.0743500017016
1477,J M Curley/Bogie's Place/Wig Shop Lounge,,21 Temple,Boston,MA,02111,Active,FS,Eating & Drinking,2011-06-29 19:02:45+00,6175122550,134061,42.35515760695261,-71.06243732342018
1478,JOE'S AMERICAN BAR & GRILL,,100 Atlantic,Boston,MA,02110,Active,FS,Eating & Drinking,2011-04-05 13:05:42+00,6175364200,155959,42.361967425571734,-71.05067122928065
1479,JOE'S AMERICAN BAR & GRILL,,26 Exeter,Boston,MA,02116,Active,FS,Eating & Drinking,2011-04-05 13:00:03+00,,55335,42.35059853326145,-71.07982078385476
1480,Joe's Famous Subs & Pizza,,140 Dudley,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:33:58+00,9057720000,49635,42.32903499987993,-71.08372000143603
1481,Joe's Pizza,,144 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-12-01 15:43:37.627+00,,341545,42.344462438567604,-71.1010982758041
1482,Joey Bats Cafe,,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2026-04-09 18:32:19.347+00,4133749481,156723,42.35204827404688,-71.0551747507777
1483,JOEY'S FUN FOODS,,100-199 Faneuil Hall Market,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2007-04-20 13:25:00+00,6172610065,,,
1484,Johanetts Kitchen - Lower Level,,32 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2024-01-08 19:21:38.097+00,6177180188,25110,42.383569999309664,-71.0743500017016
1485,JOHN B. HYNES VET. MEM. CTR.,,880 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2010-05-26 16:48:35+00,6179542100,18415,42.347530000607804,-71.08411000220546
1486,Johnnies On The Side,,138 Portland,Boston,MA,02114,Active,FS,Eating & Drinking,2008-03-18 19:13:59+00,6172271588,,,
1487,Johnny Burke Catering & Events,,168 Spring,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2017-11-15 16:01:17.267+00,7742700448,352347,42.27577999991106,-71.16685000151308
1488,Johnny Pomodoro,,297 Main,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2021-09-13 14:08:46.57+00,7742700448,354471,42.377800000165585,-71.06706000117386
1489,JOHNNY'S PIZZA & SUBS,,1917 Dorchester,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2014-12-09 18:17:03.81+00,6172656660,156515,42.28521347979991,-71.06463831663399
1490,John's Pizza,,863 Washington,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2025-11-14 14:51:20.68+00,6172822691,157388,42.28156139823146,-71.07130039533615
1491,JOIA Ristorante & Lounge,,189 State,Boston,MA,02109,Active,FS,Eating & Drinking,2023-10-31 14:24:08.747+00,8572770782,357204,42.35922999987799,-71.05272000075792
1492,Jones Day @ South Station Tower 23rd Fl.,,680 Atlantic,Boston,MA,02111,Active,FS,Eating & Drinking,2025-10-23 14:22:29.04+00,6174496921,423328,42.350352684080285,-71.0559167907962
1493,Joseph's Pizza & Sub Shop,,1200 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:38+00,6172980065,156568,42.28344577733234,-71.09139870300409
1494,Joseph's Pizzeria,,8 Huntington,Mission Hill,MA,02130,Active,FS,Eating & Drinking,2018-01-02 13:26:03.553+00,6177319880,156493,42.331748407477015,-71.11176208475916
1495,J. Pace & Son Uptown,,225 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2009-03-18 13:37:16+00,7812319599,103889,42.34853737168443,-71.0387329923863
1496,J-Pizzle Kitchen,,536 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2018-08-08 17:18:17.15+00,6175247575,28098,42.316860000073646,-71.11327000185834
1497,J.P. LICKS,,173 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2018-04-03 15:33:15.103+00,6175242020,101379,42.35071999982103,-71.07921000117265
1498,J.P. LICKS AT W.R.  INC.,,661 V F W ,WEST ROXBURY,MA,02467,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:26+00,6175242020,,,
1499,J.P. Licks @ Boylston St.,,1106 Boylston,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2012-09-14 14:23:00+00,6175242020,17997,42.346828000144384,-71.0885700008115
1500,J.P. Licks @ Charles Street,,144 Charles,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2012-02-16 15:58:18+00,6175242020,29126,42.359980000680245,-71.07100000113046
1501,J.P. LICKS INC.,,659 Centre,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:05+00,6175242020,156020,42.31286484367275,-71.11442408152661
1502,J.P. Licks @ Southbay,,20 District,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2017-12-12 15:59:52.423+00,6175240699,420662,42.32531436705742,-71.06273101728776
1503,J.P. Licks @ West Broadway,,397 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2018-04-03 15:43:50.913+00,6175242020,21479,42.33709175192382,-71.04848192962615
1504,J. P. Roti Shop,,482 Washington,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2016-06-28 16:34:15.91+00,6178254860,355096,42.29469262536352,-71.07167958614922
1505,J. P. SEAFOOD CAFE INC.,,730 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2006-12-07 18:34:45+00,6175226092,155925,42.310802027258546,-71.1144585437351
1506,Jugos,,502 Massachusetts,Roxbury,MA,02118,Active,FS,Eating & Drinking,2017-01-10 16:05:14.637+00,6175369700,157478,42.33927482172894,-71.07998993690917
1507,Jugos Juice Boston @ MBTA,,145 Dartmouth,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2012-02-03 14:19:44+00,9175337788,46313,42.347277918147604,-71.07545140055491
1508,Juicy Greens,,125 Summer,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2024-03-08 16:30:06.47+00,6178335676,131981,42.35312315905097,-71.05742297932142
1509,Juicy Greens,,61 South,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2017-08-02 14:55:57.337+00,8572889776,128877,42.307690000075745,-71.11576000135584
1510,JuicyGreens at the Hub- K14,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2020-02-14 20:57:53.353+00,6178335676,423633,42.36553349531547,-71.06185622592876
1511,Jules on Devonshire,,54 Devonshire,Boston,MA,02109,Active,FS,Eating & Drinking,2022-04-15 16:53:58.73+00,6177201234,164243,42.35834130533922,-71.05710698688702
1512,Jumbo Seafood,,5 Hudson,Boston,MA,02111,Active,FS,Eating & Drinking,2021-12-17 17:04:48.047+00,6175422823,422883,42.35097290433989,-71.0601689978224
1513,Jump On In,,100 Holton,Brighton,MA,02135,Active,FS,Eating & Drinking,2018-01-02 19:44:09.377+00,6177895867,351912,42.36021804203562,-71.13853514949616
1514,Just Salad,,185 Franklin,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2023-01-24 17:03:39.42+00,,60662,42.35539999922405,-71.0548200009276
1515,Just Salad,,372 Congress,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2023-12-19 18:28:35.493+00,3142773575,352592,42.35013183567024,-71.04778440308561
1516,Just Thai,,1512 Dorchester,Dorchester,MA,02122,Active,FS,Eating & Drinking,2020-09-10 12:49:36.927+00,6172886388,224752,42.299120000094945,-71.06032000170316
1517,Kahaani on Broadway,,22 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2025-12-05 17:06:55.363+00,6177524206,422806,42.342819328017995,-71.05657266267934
1518,Kaia,,370 Harrison,Roxbury,MA,02118,Active,FS,Eating & Drinking,2023-11-15 15:18:24.103+00,,439545,42.34398357827159,-71.06378452034063
1519,Kajiken,,83 Harrison,Boston,MA,02111,Active,FS,Eating & Drinking,2025-06-24 17:30:28.457+00,6178885366,359017,42.35093000006838,-71.06158000175563
1520,Kaju Tofu House,,56 Harvard,Allston,MA,02134,Active,FS,Eating & Drinking,2011-12-16 15:41:38+00,6172088540,155972,42.35432672235194,-71.13222174330699
1521,Kala Thai Cookery,,120 Blackstone,Boston,MA,02108,Active,FS,Eating & Drinking,2018-06-26 18:59:18.837+00,,355431,42.361782253774166,-71.0567638924323
1522,KALIHARI GRILL,,1 Circuit,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:18+00,6179892007,154032,42.32318000032231,-71.0864500013628
1523,Kane's Donuts,,1 International,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2014-08-08 14:34:13.513+00,8573172654,,,
1524,Kaori Cafe,,299 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2025-10-10 18:32:22.113+00,6179910462,94442,42.37705000071673,-71.03897000037045
1525,Kapow Thai Cuisine,,2255 Dorchester,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2024-11-27 14:12:37.203+00,6172967505,48560,42.27339000032178,-71.06795000189955
1526,Kartal,,520 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2022-09-23 14:35:30.24+00,6172016996,351754,42.34463999963695,-71.06991000155571
1527,Kava Neo Taverna,,315 Shawmut,Roxbury,MA,02118,Active,FS,Eating & Drinking,2016-03-02 13:35:55.307+00,6172013066,157079,42.34234070580471,-71.07052981791773
1528,Kaze Shabu Shabu,,41 Essex,Boston,MA,02111,Active,FS,Eating & Drinking,2007-08-23 19:01:57+00,6173388783,54334,42.35235000063618,-71.06158000030446
1529,Kchickin,,84 Peterborough,Boston,MA,02215,Active,FS,Eating & Drinking,2024-10-02 14:09:12.123+00,6175301181,168718,42.343077111885144,-71.09911010660659
1530,KELLEY'S SQ. PUB,,84 Bennington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:09+00,6175674627,156276,42.37623181731599,-71.03562911421378
1531,Kelly's Roast Beef @BOS,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2018-07-12 15:03:28.307+00,6176346097,341353,42.362677345436204,-71.01863498065062
1532,Kelly's Roastbeef (Pier A),,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-04-17 15:16:00.567+00,6176346097,341353,42.362677345436204,-71.01863498065062
1533,Kentucky Fried Chicken,,465 Washington,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2011-03-25 18:33:27+00,7819820755,158171,42.295093833221976,-71.07233982170061
